Distance_m,RSSI_dBm,Timestamp,RSSI_filtered
0.7,-60,1770628846.43001,-60.07279917578126
0.7,-60,1770628846.53097,-60.07253507779607
0.7,-60,1770628846.6311,-60.07227288545258
0.7,-60,1770628846.73105,-60.07201257818634
0.7,-60,1770628846.83113,-60.07175413572774
0.7,-60,1770628846.93076,-60.07149753809672
0.7,-60,1770628847.031,-60.07124276559766
0.7,-60,1770628847.13036,-60.07098979881428
0.7,-60,1770628847.23166,-60.070738618604764
0.7,-60,1770628847.33048,-60.07048920609687
0.7,-60,1770628847.43106,-60.070241542683256
0.7,-60,1770628847.53079,-60.0699956100168
0.7,-60,1770628847.64985,-60.0697513900061
0.7,-60,1770628847.73091,-60.06950886481103
0.7,-60,1770628847.83077,-60.06926801683837
0.7,-60,1770628847.93076,-60.069028828737586
0.7,-60,1770628848.02999,-60.068791283396614
0.7,-60,1770628848.13066,-60.068555363937826
0.7,-60,1770628848.2309,-60.06832105371399
0.7,-60,1770628848.33086,-60.06808833630436
0.7,-60,1770628848.43049,-60.067857195510875
0.7,-60,1770628848.53087,-60.06762761535433
0.7,-60,1770628848.63093,-60.06739958007076
0.7,-60,1770628848.73031,-60.06717307410778
0.7,-60,1770628848.83112,-60.06694808212105
0.7,-60,1770628848.93035,-60.06672458897086
0.7,-60,1770628849.03043,-60.066502579718644
0.7,-60,1770628849.13033,-60.066282039623744
0.7,-60,1770628849.23074,-60.066062954140065
0.7,-61,1770628849.33092,-60.06913982139682
0.7,-60,1770628849.42992,-60.06891278392424
0.7,-60,1770628849.53008,-60.068687229214156
0.7,-60,1770628849.62997,-60.06846314277706
0.7,-60,1770628849.72998,-60.06824051031163
0.7,-60,1770628849.83048,-60.06801931770166
0.7,-60,1770628849.92984,-60.067799551013096
0.7,-60,1770628850.03028,-60.0675811964911
0.7,-60,1770628850.13045,-60.06736424055717
0.7,-59,1770628850.23017,-60.06394859289546
0.7,-60,1770628850.3309,-60.06374460207892
0.7,-60,1770628850.42949,-60.06354190538541
0.7,-60,1770628850.52979,-60.06334049052897
0.7,-60,1770628850.6309,-60.063140345378685
0.7,-60,1770628850.73044,-60.06294145795622
0.7,-60,1770628850.83082,-60.062743816433446
0.7,-60,1770628850.92975,-60.062547409130076
0.7,-60,1770628851.03047,-60.06235222451138
0.7,-60,1770628851.12998,-60.062158251185906
0.7,-60,1770628851.22963,-60.061965477903286
0.7,-59,1770628851.33055,-60.05868210183625
0.7,-59,1770628851.42995,-60.05541891361151
0.7,-59,1770628851.53099,-60.05217572745185
0.7,-59,1770628851.63101,-60.04895235985255
0.7,-60,1770628851.73072,-60.04880284862134
0.7,-60,1770628851.83073,-60.04865424546407
0.7,-60,1770628851.93221,-60.048506542125544
0.7,-59,1770628852.03181,-60.045333093861046
0.7,-59,1770628852.13078,-60.04217874542862
0.7,-60,1770628852.22967,-60.04205184962418
0.7,-59,1770628852.33047,-60.038926162484096
0.7,-59,1770628852.42982,-60.035819118943444
0.7,-60,1770628852.53052,-60.03571231484486
0.7,-60,1770628852.63039,-60.0356061440066
0.7,-59,1770628852.73045,-60.03253641579143
0.7,-59,1770628852.83095,-60.029484780954654
0.7,-59,1770628852.93049,-60.02645107984929
0.7,-59,1770628853.03042,-60.023435154701026
